member_id,membership_id,workoutPlan_id,dietPlan_id,[name],[weight]
M1,P1,NULL,NULL,Usman Khan,75
M2,P2,NULL,NULL,Zara Malik,68
M3,P3,NULL,NULL,Bilal Ahmed,85
M4,P4,NULL,NULL,Nadia Saeed,70
M5,P5,NULL,NULL,Hasan Raza,78
M6,P6,W3,NULL,Amna Farooq,65
M7,P7,NULL,NULL,Salman Khan,82
M8,P8,W2,D1,Sumaira Iqbal,67
M9,P9,NULL,NULL,Arshad Malik,80
M10,P10,NULL,NULL,Hira Qureshi,62
M11,P11,NULL,NULL,Kamran Shaikh,77
M12,P12,NULL,D5,Sara Rafiq,68
M13,P13,NULL,NULL,Fahad Anwar,74
M14,P14,NULL,NULL,Safia Qureshi,60
M15,P15,NULL,NULL,Aisha Malik,70
M16,P16,NULL,D10,Junaid Iqbal,76
M17,P17,NULL,NULL,Zara Bashir,64
M18,P18,NULL,NULL,Imran Khan,73
M19,P19,NULL,NULL,Irum Malik,65
M20,P20,NULL,NULL,Hamza Qureshi,80
M21,P21,NULL,NULL,Sara Ali,71
M22,P22,NULL,NULL,Arif Malik,75
M23,P23,NULL,NULL,Fatima Khan,65
M24,P24,NULL,NULL,Hassan Raza,78
M25,P25,NULL,NULL,Amina Saeed,67
M26,P26,NULL,NULL,Umar Malik,80
M27,P27,NULL,NULL,Zara Qureshi,69
M28,P28,NULL,NULL,Usman Ahmed,85
M29,P29,NULL,NULL,Samina Ali,70
M30,P30,W5,NULL,Raza Khan,73
M31,P31,NULL,D6,Zainab Iqbal,66
M32,P32,NULL,NULL,Shahid Rafiq,78
M33,P33,NULL,NULL,Ayesha Ahmed,65
M34,P34,NULL,NULL,Hamza Malik,82
M35,P35,NULL,NULL,Sadia Khan,68
M36,P36,NULL,NULL,Arif Raza,72
M37,P37,NULL,D3,Zara Bashir,69
M38,P38,NULL,NULL,Usman Rafiq,77
M39,P39,NULL,NULL,Sara Saeed,66
M40,P40,NULL,NULL,Salman Ali,81
M41,P41,NULL,NULL,Samira Malik,69
M42,P42,W10,NULL,Fahad Ahmed,75
M43,P43,NULL,NULL,Farah Raza,70
M44,P44,NULL,NULL,Hina Saeed,68
M45,P45,NULL,NULL,Kamran Khan,83
M46,P46,NULL,NULL,Zara Iqbal,72
M47,P47,W7,NULL,Imran Qureshi,78
M48,P48,NULL,NULL,Nadia Raza,65
M49,P49,NULL,NULL,Hassan Saeed,77
M50,P50,W8,NULL,Aisha Rafiq,71
